2025-04-05 15:30:57.465820 | 50:8a:06:fc:81:4d | N/A | -53 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.403370 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.412553 | a0:de:0f:60:67:8d | N/A | -83 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.419830 | 54:4b:54:24:74:37 | N/A | -83 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.433285 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.494327 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.505715 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.535493 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.596708 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.596941 | dc:4f:22:fa:54:46 | N/A | -69 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.608124 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.637871 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.638655 | 50:8a:06:fc:81:4d | N/A | -53 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.699074 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.710524 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.732951 | 30:cc:21:14:be:83 | N/A | -19 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.740603 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.801480 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.812899 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.835356 | 30:cc:21:14:be:83 | N/A | -19 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.842791 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.846009 | 54:4b:54:24:74:37 | N/A | -84 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.903880 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.915296 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.924301 | a0:de:0f:60:67:8d | N/A | -81 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.945174 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:58.995675 | dc:4f:22:fa:54:46 | N/A | -72 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.006304 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.017745 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.047294 | a0:de:0f:60:67:88 | N/A | -82 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.052894 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.087016 | c0:51:5c:67:a7:2c | N/A | -86 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.108705 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.114212 | 54:4b:54:24:74:37 | N/A | -83 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.120090 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.121627 | 54:4b:54:24:74:37 | N/A | -83 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.129090 | a0:de:0f:60:67:8d | N/A | -83 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.129267 | 54:4b:54:24:74:37 | N/A | -86 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.143081 | 54:4b:54:24:74:37 | N/A | -84 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.149914 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.153087 | 54:4b:54:24:74:37 | N/A | -82 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.176686 | 54:4b:54:24:74:37 | N/A | -84 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.181690 | 54:4b:54:24:74:37 | N/A | -84 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.204736 | 52:9f:14:d9:81:25 | N/A | -61 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.204905 | 52:9f:14:d9:81:25 | N/A | -63 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.211089 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.222527 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.225330 | 52:9f:14:d9:81:25 | N/A | -63 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.231215 | 52:9f:14:d9:81:25 | N/A | -63 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.231672 | 52:9f:14:d9:81:25 | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.232045 | 52:9f:14:d9:81:25 | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.235404 | 54:4b:54:24:74:37 | N/A | -85 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.244695 | 54:4b:54:24:74:37 | N/A | -84 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.252366 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.260993 | 54:4b:54:24:74:37 | N/A | -83 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.271360 | 54:4b:54:24:74:37 | N/A | -84 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.282480 | 52:9f:14:d9:81:25 | N/A | -61 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.282869 | 54:4b:54:24:74:37 | N/A | -85 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.288339 | 54:4b:54:24:74:37 | N/A | -82 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.313493 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.327749 | 54:4b:54:24:74:37 | N/A | -84 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.338247 | 54:4b:54:24:74:37 | N/A | -83 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.343833 | 52:9f:14:d9:81:25 | N/A | -61 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.346800 | 54:4b:54:24:74:37 | N/A | -82 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.354656 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.364722 | 54:4b:54:24:74:37 | N/A | -83 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.369239 | 52:9f:14:d9:81:25 | N/A | -61 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.370375 | 54:4b:54:24:74:37 | N/A | -82 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.375755 | 54:4b:54:24:74:37 | N/A | -82 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.381054 | 54:4b:54:24:74:37 | N/A | -85 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.386221 | 54:4b:54:24:74:37 | N/A | -83 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.391324 | 54:4b:54:24:74:37 | N/A | -82 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.399773 | 54:4b:54:24:74:37 | N/A | -82 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.415895 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.427328 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.436556 | a0:de:0f:60:67:8d | N/A | -83 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.440518 | 54:4b:54:24:74:37 | N/A | -84 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.457164 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.461266 | 54:4b:54:24:74:37 | N/A | -83 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.466327 | 54:4b:54:24:74:37 | N/A | -85 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.472227 | 54:4b:54:24:74:37 | N/A | -83 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.476384 | 52:9f:14:d9:81:25 | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.476717 | 52:9f:14:d9:81:25 | N/A | -64 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.480950 | 52:9f:14:d9:81:25 | N/A | -63 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.483257 | 54:4b:54:24:74:37 | N/A | -84 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.498874 | 54:4b:54:24:74:37 | N/A | -84 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.504228 | 54:4b:54:24:74:37 | N/A | -85 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.518301 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.525107 | 54:4b:54:24:74:37 | N/A | -83 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.529682 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.530636 | 54:4b:54:24:74:37 | N/A | -83 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.531342 | 52:9f:14:d9:81:25 | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.542552 | 54:4b:54:24:74:37 | N/A | -83 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.551067 | 54:4b:54:24:74:37 | N/A | -83 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.559479 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.566608 | 54:4b:54:24:74:37 | N/A | -85 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.577341 | 54:4b:54:24:74:37 | N/A | -83 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.582183 | 54:4b:54:24:74:37 | N/A | -81 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.593491 | 54:4b:54:24:74:37 | N/A | -85 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.616234 | 50:8a:06:fc:81:4d | N/A | -53 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.620705 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.632119 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.644855 | 54:4b:54:24:74:37 | N/A | -83 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.653334 | 54:4b:54:24:74:37 | N/A | -85 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.661987 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.669990 | 54:4b:54:24:74:37 | N/A | -85 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.680474 | 54:4b:54:24:74:37 | N/A | -85 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.689181 | 54:4b:54:24:74:37 | N/A | -84 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.694718 | 50:8a:06:fc:81:4d | N/A | -53 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.695585 | 50:8a:06:fc:81:4d | N/A | -54 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.698730 | 52:9f:14:d9:81:25 | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.698890 | 52:9f:14:d9:81:25 | N/A | -63 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.705123 | 54:4b:54:24:74:37 | N/A | -83 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.723099 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.729303 | a0:de:0f:60:67:88 | N/A | -82 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.734491 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.734676 | 52:9f:14:d9:81:25 | N/A | -63 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.756956 | 30:cc:21:14:be:83 | N/A | -19 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.764371 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.768604 | 54:4b:54:24:74:37 | N/A | -84 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.773938 | 54:4b:54:24:74:37 | N/A | -84 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.780438 | 50:8a:06:fc:81:4d | N/A | -53 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.786093 | 52:9f:14:d9:81:25 | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.800073 | 50:8a:06:fc:81:4d | N/A | -53 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.825484 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.836916 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.847613 | 52:9f:14:d9:81:25 | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.859331 | 30:cc:21:14:be:83 | N/A | -19 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.866802 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.867725 | 50:8a:06:fc:81:4d | N/A | -53 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.873041 | 52:9f:14:d9:81:25 | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.927920 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.939302 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.943640 | 52:9f:14:d9:81:25 | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.943930 | 52:9f:14:d9:81:25 | N/A | -64 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.971115 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.991252 | 54:4b:54:24:74:37 | N/A | -82 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.991638 | 54:4b:54:24:74:37 | N/A | -84 dBm | Origem: Cliente desconhecido
2025-04-05 15:30:59.994297 | 52:9f:14:d9:81:25 | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.013178 | 50:8a:06:fc:81:4d | N/A | -58 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.019804 | dc:4f:22:fa:54:46 | N/A | -75 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.030300 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.041716 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.065088 | 30:cc:21:14:be:83 | N/A | -19 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.071647 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.072755 | dc:4f:22:fa:54:46 | N/A | -75 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.132693 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.144101 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.160873 | 52:9f:14:d9:81:25 | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.161024 | 52:9f:14:d9:81:25 | N/A | -64 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.174405 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.211526 | 52:9f:14:d9:81:25 | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.235091 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.235283 | dc:4f:22:fa:54:46 | N/A | -73 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.246502 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.278009 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.285785 | 52:9f:14:d9:81:25 | N/A | -67 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.285890 | 52:9f:14:d9:81:25 | N/A | -63 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.291383 | 50:8a:06:fc:81:4d | N/A | -53 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.311434 | 50:8a:06:fc:81:4d | N/A | -53 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.312413 | 50:8a:06:fc:81:4d | N/A | -53 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.337513 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.337739 | 52:9f:14:d9:81:25 | N/A | -63 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.348909 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.378744 | 30:cc:21:14:be:83 | N/A | -17 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.439912 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.451300 | 56:4b:54:3b:84:8f | N/A | -63 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.451533 | 52:9f:14:d9:81:25 | N/A | -63 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.452174 | 52:9f:14:d9:81:25 | N/A | -63 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.452297 | 52:9f:14:d9:81:25 | N/A | -67 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.452666 | 52:9f:14:d9:81:25 | N/A | -67 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.452713 | 52:9f:14:d9:81:25 | N/A | -67 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.473114 | 52:9f:14:d9:81:25 | N/A | -67 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.481214 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.492672 | 52:9f:14:d9:81:25 | N/A | -63 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.496866 | 50:8a:06:fc:81:4d | N/A | -54 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.497623 | 50:8a:06:fc:81:4d | N/A | -53 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.498483 | 50:8a:06:fc:81:4d | N/A | -53 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.517230 | 50:8a:06:fc:81:4d | N/A | -53 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.527093 | 52:9f:14:d9:81:25 | N/A | -63 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.542310 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.553718 | 56:4b:54:3b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.577232 | 52:9f:14:d9:81:25 | N/A | -63 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.583438 | 30:cc:21:14:be:83 | N/A | -16 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.598931 | 50:8a:06:fc:81:4d | N/A | -53 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.611625 | 52:9f:14:d9:81:25 | N/A | -64 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.618637 | 50:8a:06:fc:81:4d | N/A | -53 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:00.644705 | 54:4b:54:2b:84:8f | N/A | -62 dBm | Origem: Cliente desconhecido
